run_id,date,commit,case,command,status,reason,superseded_by,geometry,Re,grid,cells,tau,Ma,steps,warmup,avg_Tft,collision,sgs,wall_model,walls,boundaries,sponge,forcing,metric,value,se,drift_1st,drift_2nd,reference,err_pct,wall_engaged,nut_les_nu_mean,nut_les_nu_max,max_u,wall_time_s,mlups,other,notes,backend,vram_fields_gb,vram_gpu_gb,vram_gpu_scope,rho_min,rho_max,hot_cells,hot_where
11,2026-09-23,509c180+dirty,ahmed,(backfilled),good,converged,,H=32 phi=30 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,smag cs=0.084,log-law y+>30,staircase BB,NEEM-open inlet / zero-grad outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,0.7439,0.0026,0.7404,0.7475,,,845,,,0.0873,1249,1198.0,,sweep pass 3,cuda,,,,,,,
12,2026-09-23,509c180+dirty,ahmed,(backfilled),good,converged,,H=32 phi=35 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,smag cs=0.084,log-law y+>30,staircase BB,NEEM-open inlet / zero-grad outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,0.7502,0.0038,0.7461,0.7541,,,789,,,0.085,1248,1198.9,,sweep pass 3; slant gate fails (flat),cuda,,,,,,,
13,2026-09-23,509c180+dirty,ahmed,(backfilled),good,nose gate: +48% vs round,,H=32 phi=25 square,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,smag cs=0.084,log-law y+>30,staircase BB,NEEM-open inlet / zero-grad outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,1.1017,0.0186,1.104,1.1036,,,611,,,0.0903,1243,1203.8,,Phase 3 relative gate PASS,cuda,,,,,,,
14,2026-09-23,509c180+dirty,ahmed,(backfilled),good,nose gate,,H=32 phi=30 square,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,smag cs=0.084,log-law y+>30,staircase BB,NEEM-open inlet / zero-grad outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,1.1042,0.0182,1.0938,1.1181,,,575,,,0.0957,1235,1211.5,,,cuda,,,,,,,
15,2026-09-23,509c180+dirty,ahmed,(backfilled),good,nose gate,,H=32 phi=35 square,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,smag cs=0.084,log-law y+>30,staircase BB,NEEM-open inlet / zero-grad outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,1.1211,0.0201,1.1085,1.1371,,,518,,,0.0896,1295,1155.4,,,cuda,,,,,,,
16,2026-09-24,d8ae6c9,ahmed,(backfilled),good,"refactor C: ~20% faster, Cd within SE",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,smag cs=0.084,log-law y+>30,staircase BB,NEEM-open inlet / zero-grad outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,0.7444,0.0029,0.7401,0.749,,,816,,,0.0869,997,1500.8,,current Smagorinsky baseline,cuda,,,,0.9312,1.1515,28,measured post hoc from .vti; all 28 near the nose (x 116-154)
17,2026-09-24,c4603d3+dirty,channel,(backfilled),good,WALE leaves resolved DNS intact,,delta=64 (Re_tau 180),180,120x130x60,936000,0.5048,0.14,600000,100000,,TRT (collide_full),wale cw=0.5,off,halfway BB,"periodic x,z / no-slip y walls",none,body force gx,U+ centerline,18.2,,,,18.3,-0.5,,,,0.0904,568,988.7,u'rms 3.11 @ y+12.7 (peak moved in); wall-shear -2.6%; asym 1.0%,,cuda,,,,,,,
18,2026-09-24,d02f6a3+dirty,channel,(backfilled),invalid,TRT at tau=0.50037 diverges; per-step print,,delta=16 (Re_tau 590),590,9x34x5,1530,0.50037,0.14,150000,25000,,TRT (collide_full),wale cw=0.5,off,halfway BB,"periodic x,z / no-slip y walls",none,body force gx,U+ centerline,nan,,,,20.8,,,,,,,,,NaN ~step 500,cuda,,,,,,,
19,2026-09-24,4118ea6+dirty,channel,(backfilled),invalid,"unresolved wall (y+ 18, wall model off); box too small",,delta=16 (Re_tau 590),590,9x34x5,1530,0.50037,0.14,150000,25000,,regularized,wale cw=0.5,off,halfway BB,"periodic x,z / no-slip y walls",none,body force gx,U+ centerline,27.3,,,,20.8,31.3,,16.27,165.69,0.236,144,1.6,u'rms 7.89 @ y+461 (core); wall-shear -33.3%; asym 1.6%,,cuda,,,,,,,
20,2026-09-24,4118ea6+dirty,channel,(backfilled),invalid,diverged (NaN ~73%); invalid setup,,delta=16 (Re_tau 590),590,9x34x5,1530,0.50037,0.14,150000,25000,,regularized,smag cs=0.084,off,halfway BB,"periodic x,z / no-slip y walls",none,body force gx,U+ centerline,nan,,,,20.8,,,,,,118,1.9,,,cuda,,,,,,,
21,2026-09-25,a9bbaea+dirty,ahmed,(backfilled),bad,"boundary noise: max|u| 0.18 at side walls/inlet, rho +-20%",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,wale cw=0.5,log-law y+>30,staircase BB,NEEM-open inlet / zero-grad outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,0.667,0.003,0.6618,0.6723,,,4664,7.0,148.52,0.159,1241,1205.7,"wall engagement 5.7x smag; 1541 cells >0.10 (549 side walls, 317 inlet)",best WALE number so far; Cd not trusted,cuda,,,,0.9261,1.2041,1541,side walls z:549 inlet x<=10:317 near body:85 free stream:590 (post hoc)
22,2026-09-25,a9bbaea+dirty,ahmed,(backfilled),bad,same boundary noise as round WALE,,H=32 phi=25 square,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,wale cw=0.5,log-law y+>30,staircase BB,NEEM-open inlet / zero-grad outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,1.076,0.0111,1.0864,1.0645,,,5213,6.98,206.53,0.135,1234,1212.5,square/round +61% (smag +48%),,cuda,,,,0.8919,1.2229,1561,similar to run 21; peak on side wall k=0 (post hoc)
23,2026-09-25,a9bbaea+dirty,ahmed,(backfilled),bad,"sponge + density-floating inlet/outlet -> global mass accumulation (rho up to 3.35), Cd 2x and climbing",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,wale cw=0.5,log-law y+>30,staircase BB,NEEM-open inlet / zero-grad outlet / free-slip z / no-slip floor+ceiling,"inlet/outlet/z, width 8, nu_max 0.02",none,Cd,1.5037,0.1343,1.2646,1.7431,,,1183,5.47,168.41,0.319,1258,1189.4,,,cuda,,,,1.0,3.351,181555,everywhere; max|u| ~0.28 in every x bin (post hoc)
24,2026-09-25,a9bbaea+dirty,ahmed,(backfilled),bad,"same mass accumulation as run 23 (rho up to 2.50): the sponge, not the SGS model",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,smag cs=0.084,log-law y+>30,staircase BB,NEEM-open inlet / zero-grad outlet / free-slip z / no-slip floor+ceiling,"inlet/outlet/z, width 8, nu_max 0.02",none,Cd,1.403,0.0949,1.2367,1.5695,,,750,,,0.222,1013,1477.1,,,cuda,,,,1.0,2.503,180517,everywhere; max|u| ~0.20 in every x bin (post hoc)
25,2026-09-22,509c180,poiseuille_2d,(backfilled),good,red-first; fixed by skipping wall-node collision,,,,,,,,,,,BGK (magic tau),,,halfway BB,,,,wall root,0.084,,,,0.5,,,,,,,,after fix: within 0.01,0.42-cell wall offset found,,,,,,,,
26,2026-09-24,d02f6a3+dirty,poiseuille_3d_forced,(backfilled),bad,regularized drops -F/2 first moment,,,,,,,,,,,regularized,,,,,,body force gx,peak err %,13.5,,,,0.0,,,,,,,,,red-first,,,,,,,,
27,2026-09-24,d02f6a3+dirty,poiseuille_3d_forced,(backfilled),bad,wrong candidate (normal stress only),,,,,,,,,,,regularized,,,,,,body force gx,peak err %,12.8,,,,0.0,,,,,,,,,0.5(uF+Fu) added to Pi,,,,,,,,
28,2026-09-24,4118ea6,poiseuille_3d_forced,(backfilled),good,first-order Hermite term restored,,,,,,,,,,,regularized,,,,,,body force gx,peak err %,-1.02,,,,0.0,,,,,,,,ny=64: +0.99% (non-monotone); collide_forced +0.33/+0.34%,tolerance 2%,,,,,,,,
29,2026-09-25T01:37,fafd9bc+dirty,ahmed,python -m src.examples.ahmed 25 round wale,partial,,,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,wale cw=0.5,log-law y+>30,staircase BB,NEEM-open inlet / pressure outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,0.6891,0.0094,0.6974,0.68,,,4725,7.23,172.45,0.1659,1243,1203.8,,"pressure outlet killed mass drift + inlet/outlet hot cells; z side walls (480) + interior (778) still hot, rho 0.88-1.13",cuda,1.881,3.96,device,0.8792,1.125,1271,x-:0 x+:0 y-:12 y+:1 z-:252 z+:228 interior:778
30,2026-09-25T11:16,fafd9bc+dirty,ahmed,python -m src.examples.ahmed 25 round smag,partial,"Smag + pressure outlet control for run 29: hot 28 (none on z walls); rho spread is inlet acoustic sloshing from impulsive start, not SGS",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,smag cs=0.084,log-law y+>30,staircase BB,NEEM-open inlet / pressure outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,0.7496,0.0175,0.7489,0.7502,,,761,,,0.1181,1033,1448.5,,,cuda,1.881,3.95,device,0.8932,1.2313,28,x-:0 x+:0 y-:0 y+:0 z-:0 z+:0 interior:28
31,2026-09-25T12:07,fafd9bc+dirty,ahmed,python -m src.examples.ahmed 25 round wale,partial,"WALE after one-sided edge-gradient fix: hot 1310, unchanged vs run 29; hot cells trace to impulsive-start noise (upstream i=5-12, z walls far wake)",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,wale cw=0.5,log-law y+>30,staircase BB,NEEM-open inlet / pressure outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,0.6739,0.0036,0.6783,0.6687,,,4867,7.19,158.79,0.1623,1263,1184.7,,,cuda,1.881,3.92,device,0.9145,1.1307,1310,x-:4 x+:0 y-:61 y+:2 z-:235 z+:213 interior:795
32,2026-09-25T12:32,fafd9bc+dirty,ahmed,python -m src.examples.ahmed 25 round wale,invalid,"init_equilibrium indented inside sponge if-block: f never initialised, NaN from step 0",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,wale cw=0.5,log-law y+>30,staircase BB,NEEM-open inlet / pressure outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,nan,nan,nan,nan,,,0,,,nan,1261,1186.6,,,cuda,1.881,3.93,device,,,0,x-:0 x+:0 y-:0 y+:0 z-:0 z+:0 interior:0 nonfinite:9459335
33,2026-09-25T12:46,fafd9bc+dirty,ahmed,python -m src.examples.ahmed 25 round wale,invalid,NaN diagnostic of run 32 bug (3000 steps); confirmed NaN at step 0,,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,3000,69600,-4.8,regularized,wale cw=0.5,log-law y+>30,staircase BB,NEEM-open inlet / pressure outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,nan,nan,nan,nan,,,0,,,nan,2,14657.8,,,cuda,1.881,3.92,device,,,0,x-:0 x+:0 y-:0 y+:0 z-:0 z+:0 interior:0 nonfinite:9459335
34,2026-09-25T12:48,fafd9bc+dirty,ahmed,python -m src.examples.ahmed 25 round wale,invalid,"3000-step smoke test after init fix: no NaN, rho 1.0-1.009 during ramp; steps < warmup so no Cd",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,3000,69600,-4.8,regularized,wale cw=0.5,log-law y+>30,staircase BB,NEEM-open inlet / pressure outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,nan,nan,nan,nan,,,0,0.0,0.36,0.009,47,623.7,,,cuda,1.881,3.94,device,1.0,1.0092,0,x-:0 x+:0 y-:0 y+:0 z-:0 z+:0 interior:0
35,2026-09-25T13:11,fafd9bc+dirty,ahmed,python -m src.examples.ahmed 25 round wale,partial,"WALE + rest start + cosine inlet ramp (1 T_ft): hot 1517, upstream 503 at i=5-15 (lateral u up to 2.5U), inlet plane itself clean; ramp did not help -> noise generated continuously near NEEM inlet at tau0=0.50016 with WALE nut~0 upstream",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,wale cw=0.5,log-law y+>30,staircase BB,NEEM-open inlet / pressure outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,0.661,0.0066,0.662,0.6601,,,6066,7.1,165.9,0.1523,1259,1188.5,,,cuda,1.881,3.9,device,0.9196,1.1534,1517,x-:8 x+:0 y-:26 y+:0 z-:242 z+:204 interior:1039
36,2026-09-25T13:38,fafd9bc+dirty,ahmed,python -m src.examples.ahmed 25 round wale,partial,"Regularized NEEM inlet+outlet: upstream hot 503->192, total 1384; upstream still full of lateral u rms ~0.2U with rho range 0.23 at i=1 -> trapped acoustic modes (du ~ cs*drho), not inlet-generated noise; closed-box acoustics, WALE does not damp",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,wale cw=0.5,log-law y+>30,staircase BB,NEEM-open inlet / pressure outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,0.6603,0.0037,0.6636,0.6573,,,5161,7.19,164.65,0.1582,1261,1186.6,,,cuda,1.881,3.92,device,0.9085,1.138,1384,x-:0 x+:0 y-:78 y+:1 z-:305 z+:225 interior:775
37,2026-09-25T14:10,fafd9bc+dirty,ahmed,python -m src.examples.ahmed 25 round wale,partial,"Relaxation x-layers (W=24, sigma 0.1): rho 0.976-1.030 (was 0.91-1.14), Cd SE 0.002; inside layer clean (uy rms 3e-4) but beyond it uy rms ~0.01-0.02 and hot 976 concentrated on z walls (z-:247 z+:230) -> transverse modes between free-slip z walls not reached by x-layers",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,wale cw=0.5,log-law y+>30,staircase BB,NEEM-open inlet / pressure outlet / free-slip z / no-slip floor+ceiling,"relax x-layers width 24, sigma 0.1",none,Cd,0.6659,0.0019,0.6651,0.6667,,,3236,6.64,161.04,0.149,1266,1181.9,,,cuda,1.881,3.95,device,0.9759,1.0301,976,x-:0 x+:0 y-:47 y+:2 z-:247 z+:230 interior:450
38,2026-09-25T14:44,fafd9bc+dirty,ahmed,python -m src.examples.ahmed 25 round wale,bad,"Relaxation layers x 24 + z 12 (sigma 0.1): diverged, every fluid cell NaN at end (only solid cells finite); onset time/location not captured",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,wale cw=0.5,log-law y+>30,staircase BB,NEEM-open inlet / pressure outlet / free-slip z / no-slip floor+ceiling,"relax x 24 / z 12, sigma 0.1",none,Cd,nan,nan,nan,nan,,,0,,,nan,1500,997.5,,,cuda,1.881,3.93,device,,,0,x-:0 x+:0 y-:0 y+:0 z-:0 z+:0 interior:0 nonfinite:9459335
39,2026-09-25T14:48,fafd9bc+dirty,ahmed,python -m src.examples.ahmed 25 round wale,invalid,"NaN diagnostic of run 38 (x+z relax layers): max|u| tracks ramp to 0.077 at step 13000, jumps to 0.188 at 13500, NaN at 14000 over i 550-618, j 12-86, full span k; not the floor strip. Run 37 (x-only) identical otherwise and stable -> z-layer implicated",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,wale cw=0.5,log-law y+>30,staircase BB,NEEM-open inlet / pressure outlet / free-slip z / no-slip floor+ceiling,"relax x 24 / z 12, sigma 0.1",none,Cd,nan,nan,nan,nan,,,24484,,,54387769.1424,139,10764.5,,,cuda,1.881,3.92,device,-1.096214952822036e+38,1.7319956800460387e+38,1691941,x-:0 x+:0 y-:43202 y+:29266 z-:59175 z+:57536 interior:1509077 nonfinite:125800
40,2026-09-25T14:52,fafd9bc+dirty,ahmed,python -m src.examples.ahmed 25 round wale,invalid,"NaN locator (x+z relax layers): max|u| sits in the underbody gap under the nose (i~128, j~4, k~58) from step 6500; growth starts step 13000 at i125 j2 (floor, nose gap) as ramp ends, spreads up/sideways, NaN at 14000. Origin is the nose ground-clearance gap, not the z-layer region",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,wale cw=0.5,log-law y+>30,staircase BB,NEEM-open inlet / pressure outlet / free-slip z / no-slip floor+ceiling,"relax x 24 / z 12, sigma 0.1",none,Cd,nan,nan,nan,nan,,,24484,,,54387769.1424,139,10764.5,,,cuda,1.881,3.91,device,-1.096214952822036e+38,1.7319956800460387e+38,1691941,x-:0 x+:0 y-:43202 y+:29266 z-:59175 z+:57536 interior:1509077 nonfinite:125800
41,2026-09-25T14:57,fafd9bc+dirty,ahmed,python -m src.examples.ahmed 25 round wale,invalid,"NaN locator, x-layers only (z off), 15000 steps: no NaN but violent transient at ramp end, max|u| 0.19-0.45 (4-9 U) steps 12500-14000 anywhere in domain (ceiling, z walls, wake); survives and decays to ~0.16. z-layer is not the root cause: ramp-end transient is marginally stable at tau0=0.50016 with WALE nut~0",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,15000,69600,-3.9,regularized,wale cw=0.5,log-law y+>30,staircase BB,NEEM-open inlet / pressure outlet / free-slip z / no-slip floor+ceiling,"relax x 24 / z 0, sigma 0.1",none,Cd,nan,nan,nan,nan,,,1385,5.79,152.26,0.162,145,1010.9,,,cuda,1.881,3.93,device,0.9771,1.0184,1403,x-:0 x+:0 y-:107 y+:9 z-:131 z+:132 interior:1024
42,2026-09-25T15:03,fafd9bc+dirty,ahmed,python -m src.examples.ahmed 25 round wale,invalid,"Stability check, 15000 steps: WALE + smag floor cs=0.04, x+z relax layers (the run-38 setup that diverged). No NaN; ramp-end peak max|u| 0.21 at step 14300 (vs 0.45 x-only no floor), decays to ~0.145. Growth still starts in nose ground-clearance gap (i~130, j 3) at step ~13000",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,15000,69600,-3.9,regularized,wale cw=0.5 + smag floor cs=0.04,log-law y+>30,staircase BB,NEEM-open inlet / pressure outlet / free-slip z / no-slip floor+ceiling,"relax x 24 / z 12, sigma 0.1",none,Cd,nan,nan,nan,nan,,,1550,3.59,157.85,0.1426,166,883.0,,,cuda,1.881,3.9,device,0.9835,1.0117,968,x-:0 x+:0 y-:54 y+:0 z-:0 z+:0 interior:914
43,2026-09-25T15:30,fafd9bc+dirty,ahmed,python -m src.examples.ahmed 25 round wale,partial,"WALE + smag floor cs=0.04 + relax x24/z12 sigma 0.1: stable, rho 0.988-1.007, hot 232 (z walls 0, wake 0; all at nose/front roof i 122-203), Cd SE 0.0015. But Cd 0.780 vs 0.666 (run 37) - two changes confounded (floor + z-layers); upstream lateral u rms still ~0.013 at i=40",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,wale cw=0.5 + smag floor cs=0.04,log-law y+>30,staircase BB,NEEM-open inlet / pressure outlet / free-slip z / no-slip floor+ceiling,"relax x 24 / z 12, sigma 0.1",none,Cd,0.7804,0.0019,0.7798,0.781,,,1023,4.63,127.43,0.1325,1499,998.2,,,cuda,1.881,3.93,device,0.9877,1.0067,232,x-:0 x+:0 y-:19 y+:0 z-:0 z+:0 interior:213
44,2026-09-25T17:49,fafd9bc+dirty,ahmed,python -m src.examples.ahmed 25 round wale,partial,"A/B vs run 43: WALE + smag floor 0.04, x-layers only (z off). Cd 0.693 -> floor adds ~+0.027 over run 37 (0.666), z-layers add ~+0.087 (run 43 0.780). Stable through ramp. hot 487: x-:0 x+:0 y-:8 y+:0 z-:70 z+:73 interior:336",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,wale cw=0.5 + smag floor cs=0.04,log-law y+>30,staircase BB,NEEM-open inlet / pressure outlet / free-slip z / no-slip floor+ceiling,"relax x 24 / z 0, sigma 0.1",none,Cd,0.6933,0.0022,0.6923,0.6943,,,1188,5.59,136.23,0.1446,1313,1139.6,,,cuda,1.881,4.4,device,0.9835,1.0072,487,x-:0 x+:0 y-:8 y+:0 z-:70 z+:73 interior:336
45,2026-09-25T18:29,fafd9bc+dirty,ahmed,python -m src.examples.ahmed 25 round wale,bad,"z-layers relaxing to running mean (alpha 1/2000) from rest: mean flow in the z strips locked near-stalled (ux ~0.015-0.02 vs U 0.05 at i>=170) because u_bar starts at 0 and lags the ramp, and a mean-target layer has no restoring force; stalled strips act as extra blockage -> Cd 1.275, hot 3298 (none in layers). Fix: start mean-layer after the ramp with u_bar initialised from the current field",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,wale cw=0.5 + smag floor cs=0.04,log-law y+>30,staircase BB,NEEM-open inlet / pressure outlet / free-slip z / no-slip floor+ceiling,"relax x 24 (free stream) / z 12 (running mean, alpha 5.0e-04), sigma 0.1",none,Cd,1.275,0.0009,1.2757,1.2742,,,1557,6.17,151.77,0.1498,1663,899.7,,,cuda,2.038,4.68,device,0.9544,1.0458,3298,x-:0 x+:0 y-:19 y+:1 z-:0 z+:0 interior:3278
46,2026-09-25T18:58,fafd9bc+dirty,ahmed,python -m src.examples.ahmed 25 round wale,good,"WALE + smag floor cs=0.04 + relax x24 (free stream) + z12 (running mean, switched on at ramp end, u_bar from field). Cd 0.700 vs 0.693 floor-only (run 44): z-layer bias gone; hot 196 (x-:0 x+:0 y-:46 y+:0 z-:0 z+:0 interior:150); rho 0.983-1.009. Cost: 947 MLUPS vs ~1185 baseline",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,wale cw=0.5 + smag floor cs=0.04,log-law y+>30,staircase BB,NEEM-open inlet / pressure outlet / free-slip z / no-slip floor+ceiling,"relax x 24 (free stream) / z 12 (running mean from ramp end, alpha 5.0e-04), sigma 0.1",none,Cd,0.6997,0.0025,0.6978,0.7017,,,1061,4.65,146.84,0.1414,1580,947.0,,,cuda,2.038,5.32,device,0.9825,1.0088,196,x-:0 x+:0 y-:46 y+:0 z-:0 z+:0 interior:150
47,2026-09-25T19:41,c3b7c6c+dirty,ahmed,python -m src.examples.ahmed 25 round,good,"Fused layers in collide_reg (reference config): Cd 0.701 +/- 0.001 (run 46: 0.700), hot 174, rho 0.987-1.007; 1183 MLUPS / 1265 s vs 947 / 1580 s unfused (+25%), equal to the no-layer baseline",,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,wale cw=0.5 + smag floor cs=0.04,log-law y+>30,staircase BB,NEEM-open inlet / pressure outlet / free-slip z / no-slip floor+ceiling,"relax x 24 (free stream) / z 12 (running mean from ramp end, alpha 5.0e-04), sigma 0.1",none,Cd,0.7011,0.0013,0.6987,0.7035,,,1007,4.62,172.24,0.1301,1265,1182.8,,,cuda,2.038,4.41,device,0.987,1.0067,174,x-:0 x+:0 y-:24 y+:0 z-:0 z+:0 interior:150
